ref,domain,ar,tgt,tgt_lang,license
quran:2:275,quran,ٱلذين ياكلون ٱلربوا لا يقومون الا كما يقوم ٱلذي يتخبطه ٱلشيطن من ٱلمس ذلك بانهم قالوا انما ٱلبيع مثل ٱلربوا واحل ٱلله ٱلبيع وحرم ٱلربوا فمن جاءه موعظة من ربه فٱنتهى فله ما سلف وامره الى ٱلله ومن عاد فاوليك اصحب ٱلنار هم فيها خلدون,"Ceux qui mangent [pratiquent] de l'intérêt usuraire ne se tiennent (au jour du Jugement dernier) que comme se tient celui que le toucher de Satan a bouleversé. Cela, parce qu'ils disent: «Le commerce est tout à fait comme l'intérêt». Alors qu'Allah a rendu licite le commerce, et illicite l'intérêt. Celui, donc, qui cesse dès que lui est venue une exhortation de son Seigneur, peut conserver ce qu'il a acquis auparavant; et son affaire dépend d'Allah. Mais quiconque récidive... alors les voilà, les gens du Feu! Ils y demeureront éternellement",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:9:52,quran,قل هل تربصون بنا الا احدى ٱلحسنيين ونحن نتربص بكم ان يصيبكم ٱلله بعذاب من عنده او بايدينا فتربصوا انا معكم متربصون,"Dis: «Qu'attendez-vous pour nous, sinon l'une des deux meilleures choses? Tandis que ce que nous attendons pour vous, c'est qu'Allah vous inflige un châtiment de Sa part ou par nos mains. Attendez donc! Nous attendons aussi, avec vous»",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:77:13,quran,ليوم ٱلفصل,Au Jour de la Décision. [le Jugement],fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:40:23,quran,ولقد ارسلنا موسى بايتنا وسلطن مبين,Nous envoyâmes effectivement Moïse avec Nos signes et une preuve évidente,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:54:21,quran,فكيف كان عذابي ونذر,Comment furent Mon châtiment et Mes avertissements,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:89:3,quran,وٱلشفع وٱلوتر,Par le pair et l'impair,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:31:32,quran,واذا غشيهم موج كٱلظلل دعوا ٱلله مخلصين له ٱلدين فلما نجىهم الى ٱلبر فمنهم مقتصد وما يجحد بايتنا الا كل ختار كفور‏,"Quand une vague les recouvre comme des ombres, ils invoquent Allah, vouant leur culte exclusivement à Lui; et lorsqu'Il les sauve, en les ramenant vers la terre ferme, certains d'entre eux deviennent réticents; mais, seul le grand traître et le grand ingrat renient Nos signes",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:37:178,quran,وتول عنهم حتى حين‏,Et éloigne-toi d'eux jusqu'à un certain temps,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:37:41,quran,اوليك لهم رزق معلوم‏,Ceux-là auront une rétribution bien connue,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:90:15,quran,يتيم ا ذا مقربة,un orphelin proche parent,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
